1581012204066735029,"3fÕ∆F&&Ê&VÜ&∆ÊcvVÊ6ÜfF∆vçY∆v∆Ê∆fÊv∆÷c÷66ÊÜ∆÷c∆¶V&÷
"
1581012204072437047,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012204226286888,"$GPRMC,180325.000,A,4220.2582,N,07105.3864,W,0.00,40.39,060220,,,A*4A
"
1581012204942534923,"$GPGGA,180326.000,4220.2582,N,07105.3864,W,1,07,1.1,16.7,M,-33.8,M,,0000*51
"
1581012205063958883,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012205226742982,"$GPRMC,180326.000,A,4220.2582,N,07105.3864,W,0.00,40.39,060220,,,A*49
"
1581012205946521043,"$GPGGA,180327.000,4220.2582,N,07105.3864,W,1,07,1.1,16.7,M,-33.8,M,,0000*50
"
1581012206067967891,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012206228440046,"$GPGSV,3,1,11,26,84,187,38,16,55,213,40,14,40,140,44,04,35,310,21*72
"
1581012206388823032,"$GPGSV,3,2,11,23,30,310,27,29,24,054,42,27,05,175,25,09,05,315,19*70
"
1581012206510257005,"$GPGSV,3,3,11,44,22,236,36,10,16,311,,24,06,115,*4B
"
1581012206672890901,"$GPRMC,180327.000,A,4220.2582,N,07105.3864,W,0.00,40.39,060220,,,A*48
"
1581012206942065954,"$GPGGA,180328.000,4220.2582,N,07105.3864,W,1,07,1.1,16.8,M,-33.8,M,,0000*50
"
1581012207063493967,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012207226223945,"$GPRMC,180328.000,A,4220.2582,N,07105.3864,W,0.00,40.39,060220,,,A*47
"
1581012207927438974,"$GPGGA,180329.000,4220.2582,N,07105.3864,W,1,07,1.1,16.8,M,-33.8,M,,0000*51
"
1581012208048970937,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012208211775064,"$GPRMC,180329.000,A,4220.2582,N,07105.3864,W,0.00,40.39,060220,,,A*46
"
1581012208942667961,"$GPGGA,180330.000,4220.2582,N,07105.3864,W,1,07,1.1,16.8,M,-33.8,M,,0000*59
"
1581012209064140081,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012209226906061,"$GPRMC,180330.000,A,4220.2582,N,07105.3864,W,0.00,40.39,060220,,,A*4E
"
1581012209930984973,"$GPGGA,180331.000,4220.2582,N,07105.3863,W,1,07,1.1,16.8,M,-33.8,M,,0000*5F
"
1581012210052589893,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012210215142011,"$GPRMC,180331.000,A,4220.2582,N,07105.3863,W,0.00,40.39,060220,,,A*48
"
1581012210941138029,"$GPGGA,180332.000,4220.2582,N,07105.3863,W,1,07,1.1,16.8,M,-33.8,M,,0000*5C
"
1581012211062575101,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012211223056077,"$GPGSV,3,1,11,26,84,187,37,16,55,213,40,14,40,140,44,04,35,310,21*7D
"
1581012211383534908,"$GPGSV,3,2,11,23,30,310,26,29,24,054,43,27,05,175,24,09,05,315,18*70
"
1581012211504909038,"$GPGSV,3,3,11,44,22,236,36,10,16,311,,24,06,115,*4B
"
1581012211667465925,"$GPRMC,180332.000,A,4220.2582,N,07105.3863,W,0.00,40.39,060220,,,A*4B
"
1581012211925044059,"$GPGGA,180333.000,4220.2582,N,07105.3863,W,1,07,1.1,16.8,M,-33.8,M,,0000*5D
"
1581012212046570062,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012212209235906,"$GPRMC,180333.000,A,4220.2582,N,07105.3863,W,0.00,40.39,060220,,,A*4A
"
1581012212931546926,"$GPGGA,180334.000,4220.2582,N,07105.3863,W,1,07,1.1,16.8,M,-33.8,M,,0000*5A
"
1581012213052958965,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012213215691089,"$GPRMC,180334.000,A,4220.2582,N,07105.3863,W,0.00,40.39,060220,,,A*4D
"
1581012213949481964,"$GPGGA,180335.000,4220.2582,N,07105.3863,W,1,07,1.1,16.8,M,-33.8,M,,0000*5B
"
1581012214070853948,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012214233557939,"$GPRMC,180335.000,A,4220.2582,N,07105.3863,W,0.00,40.39,060220,,,A*4C
"
1581012214931236982,"$GPGGA,180336.000,4220.2582,N,07105.3863,W,1,07,1.1,16.8,M,-33.8,M,,0000*58
"
1581012215052627086,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012215215358018,"$GPRMC,180336.000,A,4220.2582,N,07105.3863,W,0.00,40.39,060220,,,A*4F
"
1581012215949556112,"$GPGGA,180337.000,4220.2582,N,07105.3863,W,1,07,1.1,16.8,M,-33.8,M,,0000*59
"
1581012216071028947,"$GPGSA,M,3,26,16,14,04,23,29,27,,,,,,1.8,1.1,1.4*3F
"
1581012216231426954,"$GPGSV,3,1,11,26,84,187,38,16,55,213,39,14,40,140,44,04,35,310,21*7C
"
1581012216391812086,"$GPGSV,3,2,11,23,30,310,27,29,24,054,43,27,05,175,24,09,05,315,19*70
"
